TEXT100_64,7508073746,6767280626,6900006988,6614424508,6873227477,6793575969,7002978458,6769144635,6809259703,6871322739,7190400158,6833180832,6800214860,6781474557,6916923800
TEXT250_64,6549023088,6676800620,6758022844,6727097324,6764290206,6570699595,6596232103,6529238028,6972450654,6925726632,6837223434,6567933284,6626946306,6419373846,6531856176
TEXT500_64,6671662025,6688009265,6956279959,6725297506,6692856911,6868180042,6892373949,6801580467,6610908570,6250913070,6864729123,6703173991,6765663762,7048343660,6562130884
TEXT750_64,6631569806,6560021970,6405546301,6653829959,6763559786,6531314866,6648703173,6626767900,6625793848,6802942951,6764618592,6613373676,6888227444,6420488691,6498731318
TEXT1000_64,6781905946,6615983301,6692297095,6617331631,6642021703,6697180510,6656047263,6612820165,6713620809,6974065811,6640070830,6530993006,6905202800,6806798102,6621437288
TEXT2500_64,6516624103,6452857191,6615156927,6883273995,6809943249,6583306275,6741677534,6786196062,6623737357,6695927991,6636325998,6385751955,6509685286,6466402311,6694986063
TEXT5000_64,6605768712,6759492793,6412423693,6403818186,6670900715,6425243487,6566491773,6424756179,6471221868,6460860027,6573127021,6354937815,6518318820,6407930329,6508130554
ARTICLE_250_64,6662593962,6242950954,6597737868,6371954759,6408868216,6295127200,6290799669,6545502622,6397695959,6404055789,6812303650,6484078997,6386345037,6362482197,6664675204
ARTICLE_500_64,6050266064,6261550889,6319576161,6524119009,6436070707,6250572765,6346935695,6333696956,6302577761,6244320219,6330259957,6297935480,6344751941,6319310487,6382955419
ARTICLE_750_64,6330407491,6498532252,6306109486,6356583747,6342328076,6320542841,6412614722,6400370533,6440466961,6370100277,6425730915,6383843068,6598863232,6370748291,6434793958
ARTICLE_1000_64,6303282657,6405535512,6358590738,6252767383,6414403514,6615340919,6325299271,6458850523,6450492651,6265274116,6495511122,6393303057,6672233579,6251488158,6404388134
ARTICLE_2500_64,6496596453,6509811016,6646392263,6722196416,6627081382,6821724613,6727026232,6682095594,6799915199,6899842768,7038775971,6882971812,6849529541,6739427702,6638513224
ARTICLE_5000_64,6870101007,6858006472,6931709325,7059413509,6755897748,6970516602,6818595282,6956356571,6907681299,6882475374,6899914429,6860130491,6854898950,6880054586,6871509402
