SEQ,221531100,214259300,213912200,214492300,214046000,214370600,213371700,213805600,213783700,215938100,213980400,212412300,213001400,213535300,212373000,212672800,214357800,212809300,214425600,213601100,214230300,213256800,214417800,213635900,215023000,213672000,214144900,215412900,213671800,214522000,212556800,214217000,213798000,212541100,215413800
ARTICLE1,251218000,226434300,227459500,242985500,277797000,245150600,229510600,227929700,232110100,227821900,229016200,229988100,230590200,226619300,234241000,227592800,226382900,226564300,228227500,226816900,227731400,227855400,226903200,230045800,229273000,233408900,227974500,230781100,226128200,229999900,228571600,226525600,228098600,228727000,227158000
TEXT1,1311065200,1305835300,1291693000,1284062700,1265935100,1277816900,1240187400,1263647200,1271667800,1278482400,1266469800,1261469600,1246056100,1266344500,1268245800,1239105900,1275586100,1266320800,1276016800,1266834400,1219660900,1300461600,1285167100,1281019900,1259801200,1348721100,1299403600,1279716000,1262194100,1288921400,1300822600,1267126700,1240333500,1276557500,1251648600
ARTICLE4,60443000,62325200,71832800,77595900,66970700,63767000,63410900,65348100,68889800,64357800,58498200,65773600,58992400,67176100,61750300,63318800,64176700,64637400,62955600,64997500,60999500,76055700,64835900,66690400,61728800,63369700,62097200,64389900,62521000,67285400,62686000,69643700,63074600,62740400,70860500
TEXT4,457585600,391736200,398210100,403468700,393702700,394948800,407551400,393318800,393375500,412858700,391115800,398597200,410843300,386734800,416763900,391080300,381815400,386528300,405353700,390787600,398338600,399584100,405290200,391253600,395920500,397760400,391111500,398158400,387926700,411788400,393786000,395507800,392020300,403271700,407983200
TEXT_2500_4,65465900,65535900,66019500,70165000,66428000,69812300,63784700,64566100,62300000,67726900,68905400,63974300,59676900,60323800,65505800,68933300,61865600,73229700,63963100,60410300,62125500,74749700,64858100,64748200,64692200,59725700,63278500,66898900,62110000,60928300,67031100,69219000,59949100,62577900,63672100
ARTICLE_750_4,61699000,71430900,76639600,59987900,79370800,77278500,60683600,69924200,64054400,71118200,73718200,67890400,70770000,68065900,66429900,72833300,67303900,70085500,71139900,78168000,67639200,73104200,60707000,59535600,76396500,67453900,59988500,71501900,68175100,60040200,81185800,67450200,67928200,61218800,66951800
ARTICLE8,39670100,41130400,42274300,42325500,41595000,40297000,41128200,44141300,41599800,41663400,40485300,43994300,41003200,39793900,42090700,42167200,41021600,40891200,39929200,41943500,41168500,41909600,43910900,44688200,41337500,41924900,40701600,41566600,41602900,43013700,42232000,43856200,42658700,42957500,41467400
TEXT8,342661600,317203800,320534300,274354100,282425400,302089800,293612900,310304400,317699100,264240100,316718700,294338300,293405200,313105000,274172400,307971400,292396100,303596100,306466600,289167700,309188100,293567800,310186600,271754800,302935700,305416100,270063000,299235300,321770600,303671600,273916900,301196700,292643400,295265900,289089400
TEXT_2500_8,42224500,41836800,44330500,44800100,47305500,46398700,42521200,42460000,43587900,40283200,44166400,41829100,42984200,41996400,42298700,40977000,43255000,42961800,40623200,42070300,41021400,44357100,41947600,43571400,43276000,43109100,41532400,42002100,45581900,41733000,42834300,41970400,44042700,39862300,42280300
ARTICLE_750_8,49673300,49823300,55332400,45381800,51039300,48264500,52300400,46101500,48902700,49098400,50686200,47718800,49418700,51501500,52398300,49601200,51281100,53560100,53344400,48098300,53473400,53381300,44162300,47300600,54522200,45169200,48662100,48681100,54200900,49540000,48677700,55223600,52900900,46899700,47850800
ARTICLE12,35339100,34137300,36550100,34253300,37158200,33126900,33176200,39621500,35332000,33696200,35132300,32959800,38368400,34872800,33553300,33833100,34020200,37093100,37254700,34039600,33706500,33126700,37286100,35843600,36848200,34088100,35202700,36372900,36862500,33926500,33954400,34358600,34481900,36187500,33886200
TEXT12,340726500,292136700,276368800,285204800,290729500,258125400,268779900,269196900,274332300,314527900,272421600,277837500,255976400,286454900,248817100,284170800,259385200,282289700,260740200,288269900,258005600,270842700,251987100,273284100,293294700,286852200,317359600,261442900,269822500,257818000,287987100,292182000,297939800,275162100,379563300
TEXT_500_12,45598800,44668300,47017500,54885800,44312400,42663500,45921200,39163300,36993700,35652300,36044700,42965100,40704500,40684600,35555700,35794300,38307600,36990100,37098000,35772200,35130500,38602500,37800400,36246500,36290300,35291900,38737400,38811100,36003800,35153700,36127500,41292900,38561100,35327000,37802200
TEXT_750_12,34904500,36578400,36132000,36879800,39150700,35562600,42443500,35910800,35378500,36009300,37606400,35311700,35143300,37803400,38081800,36328500,34473300,34411100,35113400,36420100,36399300,36384000,38540400,35420000,41463700,35173900,34413100,34030300,36644000,35720200,35298400,38076900,39079000,36341300,35661300
TEXT_1000_12,34317100,41640100,35710200,34024900,34101000,36509900,37528700,36958800,37389800,34479300,35759600,35946000,33996200,34329200,36715700,35748700,34381300,34774100,34585400,36347600,36589400,35068100,34058100,34090200,38012800,36668000,34584500,34532100,35244800,35306500,37447800,39210300,40593000,34958700,35348700
TEXT_2500_12,36051600,33892600,34492100,36727900,35628100,44212300,34168200,34079500,36747800,35127500,34178200,33206000,37141400,35311400,33872300,34023300,33918200,35998500,39205300,36751500,37130300,35332800,35397200,37032800,33518700,33492200,36746400,36593000,34000300,34722800,35008700,37059500,35259400,35238500,36285900
TEXT_5000_12,35830500,34492900,35803700,33984500,34680800,37674200,36337800,33695700,33369100,34741000,35840700,35248900,33868200,34249300,33763900,36518200,36391100,33362000,33450700,33746400,35913900,34635600,33637600,34032700,36521900,36075400,36229100,34909000,35222800,33870900,34777100,34606300,33485600,34175600,36288000
ARTICLE_500_12,38686500,36634400,37958000,37743400,38813800,37899300,37411400,40845800,37325300,37360700,36716900,38654500,38817000,36070200,37607900,43942400,37722200,36062500,37475500,39376700,35952700,36426200,40344000,37017500,37157000,37243800,36367000,40539000,37705700,35671700,38325500,37977400,36885800,37166400,36761400
ARTICLE_750_12,43450800,39969200,41988700,43113700,39748400,43735600,39026900,42534100,45329300,39984300,39559100,42836400,42887100,40814400,40883500,45140800,40650500,41974000,39247900,42413200,42410600,41660900,42416000,45013000,43785000,43242100,39977000,41686500,43114700,39852100,39023100,46607400,42058000,42086700,41909200
ARTICLE_1000_12,46206600,43645300,40774800,39483600,40888400,42691200,49153900,40358200,40174400,42509200,41665700,39595800,40141500,43939800,42436700,41410600,42190900,47266400,48801000,42242500,41066900,44304000,43695300,42548300,42016900,41628500,44063900,41822700,39496600,42352900,41118900,40310800,41457900,42016600,45006600
ARTICLE_2500_12,65630200,63289700,71307800,60858400,75129600,73156500,70800000,71854400,60339600,61253300,72527600,67296900,61105400,72897700,60293300,77166000,89205100,67275700,68201800,68941100,64763700,70978400,67552900,71647500,78397600,71991000,60785300,66824200,78645000,64642200,73951500,66004700,66816300,72507900,69832200
ARTICLE_5000_12,116039200,121645400,135213100,123225900,116448500,119353200,116329500,128613300,115770900,117045500,115912900,122028500,115898600,118906300,116110800,115857400,115961900,128692500,116617800,116238400,122152400,136418800,127107600,117410900,115948400,121169000,115977100,115901500,118951000,131878400,120088900,116023100,115997200,117091400,116764400
