SEQ,664090600,628938500,627093300,625550000,633633100,622318300,622990000,622768100,622548100,623004800,622542500,623016300,622287100,621845100,621973300,621311000,621915800,624158900,622444500,621819200,621279900,623093700,622558600,623465800,623079200,623514700,623771400,623221700,621999600,621654700,621752500,625346100,621403500,621079000,623454600
ARTICLE1,838721100,791415300,786372500,785208800,788560300,788539800,786558300,792681000,787687000,784759300,791257300,789682200,789311500,797518500,810375000,801868200,803206700,788669000,789510800,802410600,805895300,789337500,793392000,792359000,789878400,789860600,788788400,791317400,792231700,792167700,787187300,788056100,792203700,790574100,787846100
TEXT1,4028014200,3869101400,3878676400,3887605300,3919859400,3882593500,3880988900,3870649300,3878768600,3890228600,3874603900,3888244200,3877957600,3870504300,3883145700,3885557100,3873666900,3887211000,3875975900,3862922400,3875677500,3885645100,3872056000,3881419200,3876485600,3872746000,3892913100,3886760400,3925917700,3891779300,3890281400,3888524400,3883472800,3889762800,3873446800
ARTICLE4,234753100,231424400,244686400,241911300,238521800,235529200,229504900,254817800,229309100,244783700,246513200,240542800,268978100,233047800,229225100,255946500,241846100,231529000,279457300,247068500,252278100,264179700,244098800,246208200,258287400,230945800,234582200,233543800,242745700,226209600,236945200,261573800,234591600,240069000,227193200
TEXT4,1184375800,1173103300,1118152700,1130998500,1133810300,1153191300,1139238100,1138029200,1144915600,1151891500,1125735400,1207885700,1231875300,1169269600,1139506200,1151050900,1135561300,1183897400,1169181500,1116184900,1184377200,1152681000,1198267700,1170845400,1210354500,1109324500,1174330900,1202320400,1161614400,1128473000,1167339400,1135244700,1185329900,1181096900,1175562900
ARTICLE8,139426300,143389500,143101000,137004700,140005700,141539200,140439300,140010200,139986400,139615900,143933100,140088400,138651600,140553100,138709500,137950400,146344700,139802500,141100500,138789500,139141300,138701900,139904000,139078900,139308500,137756500,140593300,138803100,137878000,136856700,140599400,139448800,139237200,137500800,142581100
TEXT8,789559000,794648400,740980600,743643800,746175700,739798600,747903700,709305000,756533500,761841400,742677100,769192800,768340700,714932100,766824600,716617500,746816800,763312700,707229900,748359700,794984100,706690400,749987000,745536700,757962800,713543600,731856400,765044700,706972500,764177300,766693300,722674900,759931100,759797400,699189000
ARTICLE12,120573600,120576900,114617500,116953900,110983000,117106600,112393400,116946200,114368500,115281800,119394900,126239100,126658200,110958100,112865600,124834600,123673100,121794600,113494600,110559900,117988800,112484200,115005400,110558700,112095700,113530500,113132300,109767500,122615100,113851900,121314100,114273900,112662700,111546000,115244700
TEXT12,732245600,703836500,664065200,657631500,712416800,650651100,657192300,659659200,650029500,677904800,663097600,723463000,672644500,671581200,666551900,666216800,667103600,662110100,671764800,667780900,663964700,681237200,671063800,688989700,697332700,660539300,672033800,669613500,668437100,668103400,676013800,681882900,668507700,667695300,663575600
TEXT_500_12,132182200,126135000,124020200,135266900,124022900,135759300,125548600,118429800,118252600,119588100,120121700,116880100,122058100,118570600,123619300,121919800,119121100,124616800,118221500,121357900,141261900,121939900,117942500,132435600,125801600,119934600,123653700,118502200,119649900,121782300,121210700,117088000,119850800,120289500,125672100
TEXT_750_12,114184600,120463300,119092400,117214000,117651800,122274700,116334900,119505800,118917000,127335800,118582600,117557400,120166700,117583000,119565100,117655400,121979400,123247900,121850100,121076700,115964900,119764700,129359400,116139300,120221100,116712400,121196900,125056800,116927000,116767900,114897500,120062200,116964700,116365600,114667900
TEXT_1000_12,115504300,115869200,118825500,128828300,118026800,118801300,131898300,114703500,116087000,117988500,117592500,118020900,115842300,130373300,121649100,133352100,120360000,116345600,119373500,116013400,116025200,116281100,116945300,117029100,114227900,127149700,121820100,119311700,115729900,119882200,116531100,117444800,116835100,117272600,116948700
